digest,url,status
WDFFQRRRNZGG3I4LXJY4NMAMJDR47S6H,https://www.brookings.edu/articles/100-years-on-politics-is-where-the-u-s-lags-most-on-gender-equality/?utm_campaign=BrookingsBrief&utm_medium=email&utm_content=90187907&utm_source=hs_email,download failed
433UXTH4TK742EL6CSAKSB6GFHMDQYWH,https://www.brookings.edu/articles/11-body-parts-researchers-will-use-to-track-you/,success
KB67BMSPEUHRQZ5XKCWLHEQTNLFC7CCU,https://www.brookings.edu/articles/11-characteristics-of-the-international-order/,success
IC45RKFSI64WWYB7QWBAFXAWG7OEQOGB,https://www.brookings.edu/articles/11-foreign-policy-questions-for-the-gop-candidates/,success
YDKGBO45WKDK32R5D6HMBX4FG5K6ZSCI,https://www.brookings.edu/articles/11-must-read-brookings-books-by-women-authors/,download failed
K4S7TDY6UFR6JCUHB5IFLO3BD45JSAEV,https://www.brookings.edu/articles/1127246/,download failed
5OJ7PU2OEL6WXAGDGFYWDXMUQD3RWB45,https://www.brookings.edu/articles/12-insurers-arent-banks-regulating-solvency-litan/,success
SBKH7K2RHMIJPPD7IILYCGQ7CTDKTND2,https://www.brookings.edu/articles/1342345/,success
JHEJN4QAEGX7YZ7HW55LO6B35TFX3QDZ,https://www.brookings.edu/articles/14-brookings-books-on-american-federalism/,download failed
IQPF5Y3XPPVAOPURP7FZRGDAN3Z5XMNG,https://www.brookings.edu/articles/15-million-success-stories-under-the-millennium-development-goals/,download failed
A6LXI5X5FP7S46555XWTGPG4FGNORK45,https://www.brookings.edu/articles/1622441/,download failed
JBD6XRVHAJO5OE4TJGKDSQ5ZZJI7SHKR,https://www.brookings.edu/articles/17-rooms-a-new-approach-to-spurring-action-for-the-sustainable-development-goals/,success
EHBHKMBL7ME5QQJIPSGXNBQXGXNAA4NZ,https://www.brookings.edu/articles/17-rooms-a-new-podcast-for-the-sustainable-development-goals/,success
HKQMYHM2RCYH7B2JCNBZUMXZKRHRM3VK,https://www.brookings.edu/articles/1958-when-america-first-went-to-war-in-the-middle-east/,download failed
V7YTHMERSBYJY2SCCOYLILRJS7AAZEBS,https://www.brookings.edu/articles/1979-another-embassy-under-siege/,download failed
OEAHECYBPIPUCWVDPFLH4PEE7COZOFAN,https://www.brookings.edu/articles/1979-iran-and-america/,success
